exercise_id,exercise_name,group,video_url,review_status
leap_dumbbell_backward_lunge,Dumbbell Backward Lunge,Dumbbell,https://www.youtube.com/watch?v=h1yTq_upObI,needs_human_review
leap_single_leg_deadlift,Single Leg Deadlift,Other,https://www.youtube.com/watch?v=_UB6Tp8fzEQ,needs_human_review
leap_dumbbell_hip_thrust,Dumbbell Hip Thrust,Dumbbell,https://www.youtube.com/watch?v=VcVATdt9Mfc,needs_human_review
leap_spiderman_plank,Spiderman Plank,Planks,https://www.youtube.com/watch?v=G8-vocJfWEM,needs_human_review
leap_dumbbell_pullover,Dumbbell Pullover,Dumbbell,https://www.youtube.com/watch?v=FCogymf_XK0,needs_human_review
leap_dumbbell_swing,Dumbbell Swing,Dumbbell,https://www.youtube.com/watch?v=ELSro-2v_Sw,needs_human_review
leap_tricep_dumbbell_flick_back,Tricep Dumbbell Flick Back,Dumbbell,https://www.youtube.com/watch?v=A1XWkJLwAI0,needs_human_review
leap_knee_lift,Knee Lift,Other,https://www.youtube.com/watch?v=4IsQwLnHkkk,needs_human_review
leap_seated_overhead_tricep_extension,Seated Overhead Tricep Extension,Arms & Shoulders,https://www.youtube.com/watch?v=-9Uup5bhPBI,needs_human_review
leap_jaw_line,Jaw Line,Face & Neck,https://www.youtube.com/watch?v=R2cqpjvaB3E,needs_human_review
leap_dumbbell_arm_triceps_kickback,Dumbbell Arm Triceps Kickback,Dumbbell,https://www.youtube.com/watch?v=zfnWQVmDspU,needs_human_review
leap_underchin_duck,Underchin Duck,Face & Neck,https://www.youtube.com/watch?v=p4zyEGc4DXs,needs_human_review
leap_eye_lift,Eye Lift,Face & Neck,https://www.youtube.com/watch?v=ozhBaD5eJx8,needs_human_review
leap_marilyn,Marilyn,Face & Neck,https://www.youtube.com/watch?v=a3HAjKcyy9c,needs_human_review
leap_straight_leg_fire_hydrant,Straight Leg Fire Hydrant,Glutes & Hips,https://www.youtube.com/watch?v=OTbaDN08Yac,needs_human_review
leap_clasp_hands_behind_back,Clasp Hands Behind Back,Other,https://www.youtube.com/watch?v=JoxGFxbgJ2Y,needs_human_review
leap_nose_touching,Nose Touching,Face & Neck,https://www.youtube.com/watch?v=CYhQ44hsPHc,needs_human_review
leap_dumbbell_hamstring_curl,Dumbbell Hamstring Curl,Dumbbell,https://www.youtube.com/watch?v=0dO19gUYGyc,needs_human_review
leap_smiling_fish_face,Smiling Fish Face,Face & Neck,https://www.youtube.com/watch?v=mLYm4ItAuro,needs_human_review
leap_seated_side_bend,Seated Side Bend,Other,https://www.youtube.com/watch?v=jKcHh78Y_JE,needs_human_review
leap_dumbbell_single_leg_deadlift,Dumbbell Single Leg Deadlift,Dumbbell,https://www.youtube.com/watch?v=gBPbL3AxzzE,needs_human_review
leap_dumbbell_lying_triceps_extension,Dumbbell Lying Triceps Extension,Dumbbell,https://www.youtube.com/watch?v=FyBXas1QUWo,needs_human_review
leap_neck_lift,Neck Lift,Mobility & Stretch,https://www.youtube.com/watch?v=CRKO4lDtRzE,needs_human_review
leap_puffy_cheeks,Puffy Cheeks,Face & Neck,https://www.youtube.com/watch?v=2JhZ3K8PPHY,needs_human_review
leap_dumbbell_cuban_rotation,Dumbbell Cuban Rotation,Dumbbell,https://www.youtube.com/watch?v=voe9vZ0Yjlk,needs_human_review
leap_cross_body_hammer_curl,Cross Body Hammer Curl,Arms & Shoulders,https://www.youtube.com/watch?v=uBSgMtuxnv0,needs_human_review
leap_dumbbell_single_arm_otis_up,Dumbbell Single Arm Otis Up,Dumbbell,https://www.youtube.com/watch?v=sQbtGNsAcl4,needs_human_review
leap_dumbbell_wide_bicep_curls,Dumbbell Wide Bicep Curls,Dumbbell,https://www.youtube.com/watch?v=pB4Iic8p6Ag,needs_human_review
leap_dumbbell_triceps_extension,Dumbbell Triceps Extension,Dumbbell,https://www.youtube.com/watch?v=a1Uanj_vaYA,needs_human_review
leap_lion,Lion,Other,https://www.youtube.com/watch?v=Xv5JtCbB4bI,needs_human_review
leap_dumbbell_punch,Dumbbell Punch,Dumbbell,https://www.youtube.com/watch?v=NyOGzlXqa8g,needs_human_review
leap_smile,Smile,Face & Neck,https://www.youtube.com/watch?v=DoB_Dh0OxSc,needs_human_review
leap_drawn_cheeks,Drawn Cheeks,Face & Neck,https://www.youtube.com/watch?v=DI939pnWhmk,needs_human_review
leap_floor_slides,Floor Slides,Other,https://www.youtube.com/watch?v=Cft0lko4M4s,needs_human_review
leap_seated_spinal_twist,Seated Spinal Twist,Mobility & Stretch,https://www.youtube.com/watch?v=4YlCtaTdtgA,needs_human_review
leap_dumbbell_boat_hold,Dumbbell Boat Hold,Dumbbell,https://www.youtube.com/watch?v=wm7g8UoTZj4,needs_human_review
leap_dumbbell_drag_curls,Dumbbell Drag Curls,Dumbbell,https://www.youtube.com/watch?v=896qScV6qi4,needs_human_review
leap_dumbbell_rear_delt_row,Dumbbell Rear Delt Row,Dumbbell,https://www.youtube.com/watch?v=65gMtswVB1c,needs_human_review
leap_dumbbell_squat_clean_and_press,Dumbbell Squat Clean and Press,Dumbbell,https://www.youtube.com/watch?v=vIt0SeDcAug,needs_human_review
leap_single_arm_renegade_row,Single Arm Renegade Row,Other,https://www.youtube.com/watch?v=m0KEk-Y4iII,needs_human_review
leap_dumbbell_fly_to_close_grip_press,Dumbbell Fly to Close Grip Press,Dumbbell,https://www.youtube.com/watch?v=hJo-BOz_rfw,needs_human_review
leap_elbow_plank_rotation,Elbow Plank Rotation,Planks,https://www.youtube.com/watch?v=fu6-teFilJk,needs_human_review
leap_dumbbell_seated_in_outs,Dumbbell Seated in & Outs,Dumbbell,https://www.youtube.com/watch?v=dFqJpeDO7R0,needs_human_review
leap_dumbbell_side_boat_hold,Dumbbell Side Boat Hold,Dumbbell,https://www.youtube.com/watch?v=BszZ8i6bn1A,needs_human_review
leap_dumbbell_bicep_curl_to_press,Dumbbell Bicep Curl to Press,Dumbbell,https://www.youtube.com/watch?v=9C5EtvkK6k4,needs_human_review
leap_standing_hip_circle,Standing Hip Circle,Mobility & Stretch,https://www.youtube.com/watch?v=4-OTUubpEMU,needs_human_review
leap_overhead_arm_circles,Overhead Arm Circles,Arms & Shoulders,https://www.youtube.com/watch?v=wZVO6ZnARIE,needs_human_review
leap_aeiou,"""aeiou""",Other,https://www.youtube.com/watch?v=WvDXjfM9gDk,needs_human_review
leap_alternating_renegade_row,Alternating Renegade Row,Other,https://www.youtube.com/watch?v=KvoHxslZun0,needs_human_review
